"Tue May 12 2026, 11:42:10","SaaS::Office365: jean.li@bst.ai triggered model SaaS / Resource / Large Volume of SaaS File Downloads_copy"
"Tue May 12 2026, 11:42:10","Darktrace RESPOND — Block user from accessing Sharepoint, Outlook and Teams services. for 24 hours"
"Tue May 12 2026, 11:42:09","FileDownloaded performed by jean.li@bst.ai on File A2000项目奖励团建费用明细.xlsx   — from 107.131.34.139 (AS7018 AT&T Enterprises, LLC)"
"Tue May 12 2026, 11:24:04","FileDownloaded performed by jean.li@bst.ai on File 文化活动经费管理-5-13.docx   — from 107.131.34.139 (AS7018 AT&T Enterprises, LLC)"
"Tue May 12 2026, 10:16:32","FileDownloaded performed by jean.li@bst.ai on File US-BST Employment Agreement Lin(Linda) Zhu.pdf   — from 107.131.34.139 (AS7018 AT&T Enterprises, LLC)"
"Tue May 12 2026, 10:16:31","FileDownloaded performed by jean.li@bst.ai on File passport Lin(Linda) Zhu.pdf   — from 107.131.34.139 (AS7018 AT&T Enterprises, LLC)"
"Tue May 12 2026, 10:16:31","FileDownloaded performed by jean.li@bst.ai on File Linda Zhu Information Collection.xlsx   — from 107.131.34.139 (AS7018 AT&T Enterprises, LLC)"
"Tue May 12 2026, 10:16:31","FileDownloaded performed by jean.li@bst.ai on File US-BST Employee Disclosure Form Lin(Linda) Zhu.pdf   — from 107.131.34.139 (AS7018 AT&T Enterprises, LLC)"
"Tue May 12 2026, 10:16:31","FileDownloaded performed by jean.li@bst.ai on File Resume Lin(Linda)Zhu.pdf   — from 107.131.34.139 (AS7018 AT&T Enterprises, LLC)"
"Tue May 12 2026, 10:16:31","FileDownloaded performed by jean.li@bst.ai on File GC.pdf   — from 107.131.34.139 (AS7018 AT&T Enterprises, LLC)"
"Tue May 12 2026, 10:16:30","FileDownloaded performed by jean.li@bst.ai on File BST-US Offer Letter-Linda Zhu_US-HR Specialist_with sign.pdf   — from 107.131.34.139 (AS7018 AT&T Enterprises, LLC)"
"Tue May 12 2026, 10:16:30","FileDownloaded performed by jean.li@bst.ai on File EAD Card - Lin(Linda) Zhu.pdf   — from 107.131.34.139 (AS7018 AT&T Enterprises, LLC)"
"Tue May 12 2026, 10:16:30","FileDownloaded performed by jean.li@bst.ai on File BST-Employee Handbook Lin Zhu.pdf   — from 107.131.34.139 (AS7018 AT&T Enterprises, LLC)"
